ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,REGISTRO,ENDERECO,NUMERO,BAIRRO,REFERENCIA
506,-46.629091,-23.556157,355030849000096,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,THOMAZ DE LIMA,1001-4,RUA TEIXEIRA LEITE C/ SAO PAULO,S/N,LIBERDADE,BAIXOS VIADUTO GLICERIO
216,-46.615832,-23.538909,355030810000007,3550308005005,10,BRAS,25,MOOCA,Leste,Leste 1,CONCORDIA,1002-2,RUA CONSELHEIRO BELISARIO,S/N,BRAS,RUA MARIA MARCOLINA
36,-46.622286,-23.578861,355030890000111,3550308005046,90,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,VILA DEODORO,1003-0,RUA INGLES DE SOUZA,618.000000,CAMBUCI,AV LINS DE VASCONCELOS
479,-46.700106,-23.526608,355030848000012,3550308005058,48,LAPA,8,LAPA,Oeste,Oeste,LAPA,1004-9,RUA FABIA C AURELIA,701.000000,VL ROMANA,RUA CATAO
149,-46.600633,-23.552708,355030853000042,3550308005018,54,MOOCA,25,MOOCA,Leste,Leste 1,MOOCA MODERNA,1005-7,RUA DOS TRILHOS C BRESSER,S/N,BRESSER,RUA BRESSER
803,-46.599392,-23.546390,355030853000057,3550308005017,54,MOOCA,25,MOOCA,Leste,Leste 1,TOLEDO BARBOSA,1006-5,RUA BELARMINO MATOS,S/N,QUARTA PARADA,VIADUTO GUADALAJARA
246,-46.604057,-23.583073,355030834000011,3550308005084,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,IPIRANGA,1007-3,RUA AGOSTINHO GOMES,,IPIRANGA,RUA DOS PATRIOTAS
440,-46.573763,-23.545718,355030880000178,3550308005038,82,TATUAPE,25,MOOCA,Leste,Leste 1,MAE DO CEU,1008-1,RUA TUIUTI,2753.000000,TATUAPE,PRACA SILVIO ROMERO
297,-46.617035,-23.589531,355030834000066,3550308005043,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,VILA SAO JOSE,1009-0,RUA OLIVEIRA MELO,779.000000,VL SAO JOSE,TV DA RUA DR MARIO VICENTE
270,-46.646123,-23.573833,355030890000191,3550308005022,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,GUANABARA,1010-3,RUA CEL OSCAR PORTO,629.000000,PARAISO,TV SAMPAIO VIANA
