eq_id,eq_nome,eq_enderec,eq_bairro,eq_tipo,longitude,latitude,eq_distr,eq_regiao,eq_ender,eq_esfera,alunos_ef,alunos_em,alunos_total
208,VILA ALBERTINA,RUA ANTONIO SIMPLICIO  170,,EE,-46.606603,-23.451422,TREMEMBE,Norte,"RUA ANTONIO SIMPLICIO, 170",ESTADUAL - SE,145,0,145
249,EMEF ACLAMADO,RUA SESSENTA E TRES 10,,EMEF,-46.448859,-23.602045,IGUATEMI,Leste,"RUA SESSENTA E TRES, 10",MUNICIPAL,278,0,399
373,ROGER JULES DE CARVALHO MANGE,R ESTUDANTES DA CHINA 570,ITAIM PAULISTA,EE,-46.370143,-23.500652,ITAIM PAULISTA,Leste,"CONJUNTO HABITACIONAL ENCOSTA NORTE ESTUDANTES DA CHINA, 570",ESTADUAL - SE,739,248,1102
374,JOSE PEDRO LEITE CORDEIRO DR EMEF,RUA DESEMBARGADOR FERNANDO DE ALBUQUERQUE PRADO 250,CIDADE KEMEL,EMEF,-46.370161,-23.50934,ITAIM PAULISTA,Leste,"RUA FERNANDO DE ALBUQUERQUE PRADO DESEMBARGADOR, 250",MUNICIPAL,1123,0,1534
379,LAURO CELIDONIO GOMES DOS REIS DR,R JOAO BATISTA DE GODOY 1000,JARDIM DAS OLIVEIRAS,EE,-46.371596,-23.495833,ITAIM PAULISTA,Leste,"RUA JOAO BATISTA DE GODOY, 1000",ESTADUAL - SE,520,0,520
381,VICENTE AMATO SOBRINHO COMENDADOR EMEF,RUA VALDOMIRO GONZAGA SILVA 1233,JARDIM DAS OLIVEIRAS,EMEF,-46.371669,-23.493261,ITAIM PAULISTA,Leste,"RUA VALDOMIRO GONZAGA SILVA, 1233",MUNICIPAL,964,0,1454
382,HELIO TAVARES DR EMEF,RUA PAULO TAPAJOS 654,,EMEF,-46.371766,-23.504551,ITAIM PAULISTA,Leste,"RUA RUA PAULO TAPAJOS, 654",MUNICIPAL,950,0,1237
386,JOSE BUSTAMANTE DEPUTADO,R ANTONIO DE CAMARGO ORTIZ 2,PARQUE SANTA AMELIA,EE,-46.374561,-23.495872,ITAIM PAULISTA,Leste,"RUA ANTONIO DE CAMARGO ORTIZ, 2",ESTADUAL - SE,670,858,1704
388,REPUBLICA DA GUATEMALA,R MANFREDO FEST 160,JARDIM NELIA,EE,-46.375131,-23.514513,ITAIM PAULISTA,Leste,"RUA MANFREDO FEST, 160",ESTADUAL - SE,413,594,1102
392,ANTONIO DE PADUA VIEIRA,R MAXIMIANO CORREA DOS SANTOS 125,JARDIM DAS OLIVEIRAS,EE,-46.375649,-23.493464,ITAIM PAULISTA,Leste,"RUA MAXIMIANO CORREA DOS SANTOS, 125",ESTADUAL - SE,906,0,986
393,JURANDI GOMES DE ARAUJO EMEF,RUA VISCONDE DE GUEDES TEIXEIRA 145,,EMEF,-46.375862,-23.50722,ITAIM PAULISTA,Leste,"RUA RUA VISCONDE DE GUEDES TEIXEIRA, 145",MUNICIPAL,932,0,1325
396,PAULINA MADRE,R PADRE VIRGILIO CAMPELO 130,ITAIM PAULISTA,EE,-46.376236,-23.506,ITAIM PAULISTA,Leste,"RUA VIRGILIO CAMPELO PADRE, 130",ESTADUAL - SE,503,864,1506
399,RUBEM BRAGA CRONISTA,R PADRE VIRGILIO CAMPELO 100,ITAIM PAULISTA,EE,-46.376473,-23.505424,ITAIM PAULISTA,Leste,"RUA VIRGILIO CAMPELO PADRE, 100",ESTADUAL - SE,444,0,613
400,ANTONIO JOSE DE SUCRE,R VALDOMIRO GONZAGA SILVA 809,JARDIM DAS OLIVEIRAS,EE,-46.376758,-23.486879,ITAIM PAULISTA,Leste,"RUA VALDOMIRO GONZAGA SILVA, 809",ESTADUAL - SE,256,0,413
401,JOSEFA NICACIO ARAUJO PROFESSORA EMEF,R MANUEL RODRIGUES SANTIAGO 40,JARDIM LAURA,EMEF,-46.377947,-23.510128,ITAIM PAULISTA,Leste,"RUA MANUEL RODRIGUES SANTIAGO, 40",MUNICIPAL,1029,0,1678
406,FAZENDA ITAIM IV,R VALSA DOS CASAIS 101,ITAIM PAULISTA,EE,-46.378536,-23.507134,ITAIM PAULISTA,Leste,"RUA VALSA DOS CASAIS, 101",ESTADUAL - SE,435,0,494
407,EDER BERNARDES DOS SANTOS SOLDADO PM,R ARY CORDOVIL 251,ITAIM PAULISTA,EE,-46.378633,-23.501217,ITAIM PAULISTA,Leste,"CONJUNTO HABITACIONAL ENCOSTA NORTE ARY CORDOVIL, 251",ESTADUAL - SE,283,678,1449
411,CELIA RIBEIRO LANDIM PROFA,R LOURENCO FRANCO DO PRADO 10,JARDIM NELIA,EE,-46.379133,-23.510539,ITAIM PAULISTA,Leste,"RUA LOURENCO FRANCO DO PRADO, 10",ESTADUAL - SE,0,255,255
412,FRANCISCO PARENTE,RUA TOSHIO YOSHIDA 11,VILA ODETE,EE,-46.379725,-23.483957,ITAIM PAULISTA,Leste,"RUA RUA TOSHIO YOSHIDA, 11",ESTADUAL - SE,714,350,1064
415,RENATO DIAS DE ARAUJO PROF,R CARMEM DE ALMEIDA 36,ITAIM PAULISTA,EE,-46.380046,-23.502174,ITAIM PAULISTA,Leste,"RUA CARMEM DE ALMEIDA, 36",ESTADUAL - SE,363,0,469
416,JARDIM DOM ANGELICO,R ALFONSE JOAILLER SN,CONJUNTO HABITACIONAL SITIO CONCEICAO,EE,-46.380107,-23.586794,CIDADE TIRADENTES,Leste,"RUA ALFONSE JOAILLER, ",ESTADUAL - SE,492,0,492
424,SUD MENNUCCI EMEF,RUA JOAO BISCIONE 200,JARDIM CAMARGO NOVO,EMEF,-46.381762,-23.503398,ITAIM PAULISTA,Leste,"RUA JOAO BISCIONE, 200",MUNICIPAL,1234,0,2017
427,JOAO BATISTA VILANOVA ARTIGAS PROF,R FERNANDO DE GODOI 21,JARDIM ELZA,EE,-46.382502,-23.504896,ITAIM PAULISTA,Leste,"RUA FERNANDO DE GODOI, 21",ESTADUAL - SE,316,0,316
429,JOAO PRADO MARGARIDO PROF,R CARMINE MONETTI 81,JARDIM DAS OLIVEIRAS,EE,-46.382846,-23.490779,ITAIM PAULISTA,Leste,"RUA CARMINE MONETTI, 81",ESTADUAL - SE,514,774,1398
434,BERNARDO O'HIGGINS DOM,R JOSE DE AMENABAR 371,JARDIM NELIA,EE,-46.383658,-23.514266,ITAIM PAULISTA,Leste,"RUA JOSE DE AMENABAR, 371",ESTADUAL - SE,684,0,970
435,JOSE BONIFACIO ANDRADA E SILVA JARDIM PROF,R ANDRE FURTADO DE MENDONCA 473,JARDIM ROMANO,EE,-46.384001,-23.478842,JARDIM HELENA,Leste,"RUA ANDRE FURTADO DE MENDONCA, 473",ESTADUAL - SE,410,568,1043
438,PEDRO BRASIL BANDECCHI PROF,R JOSE ALVES COELHO 140,JARDIM NELIA,EE,-46.384399,-23.51202,ITAIM PAULISTA,Leste,"RUA JOSE ALVES COELHO, 140",ESTADUAL - SE,716,404,1400
444,JARDIM ROMANO,AV TOMAS LOPES DE CAMARGO 510,JARDIM ROMANO,EE,-46.384789,-23.47833,JARDIM HELENA,Leste,"AVENIDA TOMAS LOPES DE CAMARGO, 510",ESTADUAL - SE,656,0,656
453,NEYDY DE CAMPOS MELGES PROF,R MARGARIDA CARLOS DE ALBUQUERQUE 288,JARDIM LAURA,EE,-46.385573,-23.519067,ITAIM PAULISTA,Leste,"RUA MARGARIDA CARLOS DE ALBUQUERQUE, 288",ESTADUAL - SE,1290,0,1637
454,WANDA OVIDIO GONCALVES PROFA EMEF,RUA ARISTIDES DE BASILE 18,JARDIM DAS OLIVEIRAS,EMEF,-46.386013,-23.489116,ITAIM PAULISTA,Leste,"RUA ARISTIDES DE BASILE, 18",MUNICIPAL,737,0,1147
455,SERGIO PAULO MUNIZ PIMENTA CAPITAO,R GASPAR DE GODOI MOREIRA 19,JARDIM VIRGINIA,EE,-46.386137,-23.493546,ITAIM PAULISTA,Leste,"RUA GASPAR DE GODOI MOREIRA, 19",ESTADUAL - SE,295,524,819
457,DULCE LEITE DA SILVA PROFA,R PAULO MARTINS GARRO 25,JARDIM SAO LUIS (ZONA LESTE),EE,-46.386546,-23.495876,ITAIM PAULISTA,Leste,"RUA PAULO MARTINS GARRO, 25",ESTADUAL - SE,378,0,378
464,JOAO DORIA DEPUTADO,RUA JOSE ALVES IRMAO 30,,EE,-46.387239,-23.518578,ITAIM PAULISTA,Leste,"RUA RUA JOSE ALVES IRMAO, 30",ESTADUAL - SE,572,693,1656
466,UMBERTO LUIZ D URSO DR,R MAGNOLIA AZUL 80,JARDIM CAMARGO NOVO,EE,-46.387295,-23.510435,ITAIM PAULISTA,Leste,"RUA MAGNOLIA AZUL, 80",ESTADUAL - SE,342,769,1415
469,VEREDAS,RUA MAGNOLIA AZUL 92,ITAIM PAULISTA,EE,-46.387747,-23.510907,ITAIM PAULISTA,Leste,"RUA RUA MAGNOLIA AZUL, 92",ESTADUAL - SE,685,0,969
482,IZABEL APARECIDA CRISTOVAO DA LUZ PROFA EMEF,R ANTONIO DE SOUZA AMORIM SN,JARDIM SAO LUIS (ZONA LESTE),EMEF,-46.389626,-23.497085,ITAIM PAULISTA,Leste,"RUA ANTONIO DE SOUZA AMORIM, ",MUNICIPAL,908,0,908
483,PEDRO GERALDO COSTA DEPUTADO,R FRANCISCO CAPARA 75,JARDIM FANGANIELLO,EE,-46.389756,-23.546088,LAJEADO,Leste,"RUA FRANCISCO CAPARA, 75",ESTADUAL - SE,620,379,1227
485,DARIO MONTEIRO DE BRITO PROF,R SALVADOR BALBINO DE MATOS 104,VILA ITAIM,EE,-46.389878,-23.491533,ITAIM PAULISTA,Leste,"RUA SALVADOR BALBINO DE MATOS, 104",ESTADUAL - SE,774,0,1628
489,LIVIO XAVIER,R ANTONIO JOAO DE MEDEIROS 2040,ITAIM PAULISTA,EE,-46.390299,-23.516172,ITAIM PAULISTA,Leste,"RUA ANTONIO JOAO DE MEDEIROS, 2040",ESTADUAL - SE,436,816,1642
491,DIAS GOMES EMEF,RUA ALDESIO PRATI 42,VILA IOLANDA(LAJEADO),EMEF,-46.390643,-23.543523,LAJEADO,Leste,"RUA ALESSIO PRATI, 42",MUNICIPAL,890,0,1433
492,OSWALDO GAGLIARDI,RUA INACIO MONTEIRO 3206,COHAB CONCEICAO,EE,-46.390692,-23.577657,CIDADE TIRADENTES,Leste,"RUA RUA INACIO MONTEIRO, 3206",ESTADUAL - SE,1017,589,1606
494,WILSON RACHID,AV ITAIM SN,VILA ITAIM,EE,-46.390888,-23.491171,ITAIM PAULISTA,Leste,"PREDIO ITAIM, ",ESTADUAL - SE,663,915,1821
495,MAILSON DELANE EMEF,RUA SALVADOR VIGANO 100,,EMEF,-46.39101,-23.586724,CIDADE TIRADENTES,Leste,"RUA RUA SALVADOR VIGANO, 100",MUNICIPAL,1037,0,1728
496,CONJUNTO HABITACIONAL BARRO BRANCO II C - EMEF,R ALFONSO ASTURARO SN,CONJUNTO HABITACIONAL BARRO BRANCO II,EMEF,-46.391037,-23.584341,CIDADE TIRADENTES,Leste,"RUA ALFONSO ASTURARO, ",MUNICIPAL,1024,0,1024
505,EZEQUIEL RAMOS JUNIOR EMEF,RUA JOSE BORGES DO CANTO 18,JARDIM CAMARGO NOVO,EMEF,-46.392238,-23.507077,ITAIM PAULISTA,Leste,"RUA JOSE BORGES DO CANTO, 18",MUNICIPAL,1236,0,1717
506,MATTATHIAS GOMES DOS SANTOS REV,R MANUEL DUARTE FERRO SN,VILA ITAIM,EE,-46.392278,-23.485123,JARDIM HELENA,Leste,"RUA MANUEL DUARTE FERRO, ",ESTADUAL - SE,489,781,1422
510,BARRO BRANCO II,RUA EDUARDO REUTER 415B,BARRO BRANCO,EE,-46.392545,-23.582945,CIDADE TIRADENTES,Leste,"RUA RUA EDUARDO REUTER, 415B",ESTADUAL - SE,1091,666,1916
514,AURELIANO LEITE EMEF,RUA JOSE FCO BRANDAO 370,,EMEF,-46.392912,-23.592463,CIDADE TIRADENTES,Leste,"RUA RUA JOSE FCO BRANDAO, 370",MUNICIPAL,367,0,439
521,JOEL FERNANDES DE SOUZA EMEF,RUA CONJUNTO SITIO CONCEICAO SN,CONJUNTO HABITACIONAL SITIO CONCEICAO,EMEF,-46.393421,-23.577354,CIDADE TIRADENTES,Leste,"RUA CONJUNTO SITIO CONCEICAO, ",MUNICIPAL,488,0,645
